StrongsNumber,GreekWord,Definition
G160,aiphnidios/aheef-nid'-ee-os,"from a compound of 1 (as a negative particle) and 5316 (compare 1810) (meaning non-apparent); unexpected, i.e. (adverbially) suddenly:--sudden, unawares. see G1 see G5316 see G1810"
G161,aichmalosia/aheekh-mal-o-see'-ah,from 164; captivity:--captivity. see G164
G162,aichmaloteuo/aheekh-mal-o-tew'-o,from 164; to capture (like 163):--lead captive. see G164 see G163
G163,aichmalotizo/aheekh-mal-o-tid'-zo,"from 164; to make captive:--lead away captive, bring into captivity. see G164"
G164,aichmalotos/aheekh-mal-o-tos',"from aichme (a spear) and a derivative of the same as 259; properly, a prisoner of war, i.e. (genitive case) a captive:--captive. see G259"
G165,aion/ahee-ohn',"from the same as 104; properly, an age; by extension, perpetuity (also past); by implication, the world; specially (Jewish) a Messianic period (present or future):--age, course, eternal, (for) ever(-more), (n-)ever, (beginning of the , while the) world (began, without end). Compare 5550. see G104 see G5550"
G166,aionios/ahee-o'-nee-os,"from 165; perpetual (also used of past time, or past and future as well):--eternal, for ever, everlasting, world (began). see G165"
G167,akatharsia/ak-ath-ar-see'-ah,"from 169; impurity (the quality), physically or morally:-- uncleanness. see G169"
G168,akathartes/ak-ath-ar'-tace,"from 169; impurity (the state), morally:--filthiness. see G169"
G180,akatapaustos/ak-at-ap'-ow-stos,from 1 (as a negative particle) and a derivative of 2664; unrefraining:--that cannot cease. see G1 see G2664
G181,akatastasia/ak-at-as-tah-see'-ah,"from 182; instability, i.e. disorder:--commotion, confusion, tumult. see G182"
G182,akatastatos/ak-at-as'-tat-os,from 1 (as a negative particle) and a derivative of 2525; inconstant:--unstable. see G1 see G2525
G183,akataschetos/ak-at-as'-khet-os,from 1 (as a negative particle) and a derivative of 2722; unrestrainable:--unruly. see G1 see G2722
G184,Akeldama/ak-el-dam-ah',"of Chaldee origin (meaning field of blood; corresponding to 2506 and 1818); Akeldama, a place near Jerusalem:--Aceldama. see H2506 see H1818"
G185,akeraios/ak-er'-ah-yos,"from 1 (as a negative particle) and a presumed derivative of 2767; unmixed, i.e. (figuratively) innocent:-- harmless, simple. see G1 see G2767"
G186,aklines/ak-lee-nace',"from 1 (as a negative particle) and 2827; not leaning, i.e. (figuratively) firm:--without wavering. see G1 see G2827"
G187,akmazo/ak-mad'-zo,"from the same as 188; to make a point, i.e. (figuratively) mature:--be fully ripe. see G188"
G188,akmen/ak-mane',"accusative case of a noun (""acme"") akin to ake (a point) and meaning the same; adverbially, just now, i.e. still:--yet."
G189,akoe/ak-o-ay',"from 191; hearing (the act, the sense or the thing heard):--audience, ear, fame, which ye heard, hearing, preached, report, rumor. see G191"
