StrongsNumber,GreekWord,Definition
G2843,koinonikos/koy-no-nee-kos',"from 2844; communicative, i.e. (pecuniarily) liberal:-- willing to communicate. see G2844"
G2844,koinonos/koy-no-nos',"from 2839; a sharer, i.e. associate:--companion, X fellowship, partaker, partner. see G2839"
G2845,koite/koy'-tay,"from 2749; a couch; by extension, cohabitation; by implication, the male sperm:--bed, chambering, X conceive. see G2749"
G2846,koiton/koy-tone',from 2845; a bedroom:--+ chamberlain. see G2845
G2847,kokkinos/kok'-kee-nos,"from 2848 (from the kernel-shape of the insect); crimson- colored:--scarlet (colour, coloured). see G2848"
G2848,kokkos/kok'-kos,"apparently a primary word; a kernel of seed:--corn, grain."
G2849,kolazo/kol-ad'-zo,"from kolos (dwarf); properly, to curtail, i.e. (figuratively) to chastise (or reserve for infliction):--punish."
G2850,kolakeia/kol-ak-i'-ah,from a derivative of kolax (a fawner); flattery:--X flattering.
G2851,kolasis/kol'-as-is,"from 2849; penal infliction:--punishment, torment. see G2849"
G2852,kolaphizo/kol-af-id'-zo,from a derivative of the base of 2849; to rap with the fist:-- buffet. see G2849
G2853,kollao/kol-lah'-o,"from kolla (""glue""); to glue, i.e. (passively or reflexively) to stick (figuratively):--cleave, join (self), keep company."
G2854,kollourion/kol-loo'-ree-on,"neuter of a presumed derivative of kollura (a cake; prob akin to the base of 2853); properly, a poultice (as made of or in the form of crackers), i.e. (by analogy) a plaster:-- eyesalve. see G2853"
G2855,kollubistes/kol-loo-bis-tace',from a presumed derivative of kollubos (a small coin; probably akin to 2854); a coin-dealer:--(money- )changer. see G2854
G2871,kope/kop-ay',"from 2875; cutting, i.e. carnage:--slaughter. see G2875"
G2872,kopiao/kop-ee-ah'-o,"from a derivative of 2873; to feel fatigue; by implication, to work hard:--(bestow) labour, toil, be wearied. see G2873"
G2873,kopos/kop'-os,"from 2875; a cut, i.e. (by analogy) toil (as reducing the strength), literally or figuratively; by implication, pains:--labour, + trouble, weariness. see G2875"
G2874,kopria/kop-ree'-ah,from kopros (ordure; perhaps akin to 2875); manure:--dung(- hill). see G2875
G2875,kopto/kop'-to,"a primary verb; to ""chop""; specially, to beat the breast in grief:--cut down, lament, mourn, (be-)wail. Compare the base of 5114. see G5114"
G2876,korax/kor'-ax,perhaps from 2880; a crow (from its voracity):--raven. see G2880
G2877,korasion/kor-as'-ee-on,"neuter of a presumed derivative of kore (a maiden); a (little) girl:--damsel, maid."
G2878,korban/kor-ban',"of Hebrew and Chaldee origin respectively (7133); a votive offering and the offering; a consecrated present (to the Temple fund); by extension (the latter term) the Treasury itself, i.e. the room where the contribution boxes stood:--Corban, treasury. see H7133"
G2879,Kore/kor-eh',"of Hebrew origin (7141); Core (i.e. Korach), an Israelite:--Core. see H7141"
G2880,korennumi/kor-en'-noo-mee,"a primary verb; to cram, i.e. glut or sate:--eat enough, full."
G2881,Korinthios/kor-in'-thee-os,"from 2882; a Corinthian, i.e. inhabitant of Corinth:--Corinthian. see G2882"
G2882,Korinthos/kor'-in-thos,"of uncertain derivation; Corinthus, a city of Greece:--Corinth."
G2883,Kornelios/kor-nay'-lee-os,"of Latin origin; Cornelius, a Roman:--Cornelius."
G2884,koros/kor'-os,"of Hebrew origin (3734); a cor, i.e. a specific measure:--measure. see H3734"
G2885,kosmeo/kos-meh'-o,"from 2889; to put in proper order, i.e. decorate (literally or"
G2899,kraspedon/kras'-ped-on,"of uncertain derivation; a margin, i.e. (specially), a fringe or tassel:--border, hem."
G2900,krataios/krat-ah-yos',from 2904; powerful:--mighty. see G2904
G2901,krataioo/krat-ah-yo'-o,"from 2900; to empower, i.e. (passively) increase in vigor:--be strengthened, be (wax) strong. see G2900"
G2902,krateo/krat-eh'-o,"from 2904; to use strength, i.e. seize or retain (literally or figuratively):--hold (by, fast), keep, lay hand (hold) on, obtain, retain, take (by). see G2904"
G2903,kratistos/krat'-is-tos,"superlative of a derivative of 2904; strongest, i.e. (in dignity) very honorable:--most excellent (noble). see G2904"
G2904,kratos/krat'-os,"perhaps a primary word; vigor (""great"") (literally or figuratively):-- dominion, might(-ily), power, strength."
G2905,kraugazo/krow-gad'-zo,from 2906; to clamor:--cry out. see G2906
G2906,krauge/krow-gay',"from 2896; an outcry (in notification, tumult or grief):--clamour, cry(-ing). see G2896"
G2907,kreas/kreh'-as,perhaps a primary word; (butcher's) meat:--flesh.
G2908,kreisson/krice'-son,"neuter of an alternate form of 2909; (as noun) better, i.e. greater advantage:--better. see G2909"
G2909,kreitton/krite'-tohn,"comparative of a derivative of 2904; stronger, i.e. (figuratively) better, i.e. nobler:--best, better. see G2904"
G2910,kremannumi/krem-an'-noo-mee,a prolonged form of a primary verb; to hang:--hang.
G2911,kremnos/krame-nos',"from 2910; overhanging, i.e. a precipice:--steep place. see G2910"
G2912,Kres/krace,"from 2914; a Cretan, i.e. inhabitant of Crete:--Crete, Cretian. see G2914"
G2913,Kreskes/krace'-kace,"of Latin origin; growing; Cresces (i.e. Crescens), a Christian:-- Crescens."
G2928,krupto/kroop'-to,"a primary verb; to conceal (properly, by covering):--hide (self), keep secret, secret(-ly)."
G2929,krustallizo/kroos-tal-lid'-zo,"from 2930; to make (i.e. intransitively, resemble) ice (""crystallize""):--be clear as crystal. see G2930"
G2930,krustallos/kroos'-tal-los,"from a derivative of kruos (frost); ice, i.e. (by analogy) rock ""crystal"":--crystal."
G2931,kruphe/kroo-fay',adverb from 2928; privately:--in secret. see G2928
G2932,ktaomai/ktah'-om-ahee,"a primary verb; to get, i.e. acquire (by any means; own):-- obtain, possess, provide, purchase."
G2933,ktema/ktay'-mah,"from 2932; an acquirement, i.e. estate:--possession. see G2932"
G2934,ktenos/ktay'-nos,"from 2932; property, i.e. (specially) a domestic animal:--beast. see G2932"
G2935,ktetor/ktay'-tore,from 2932; an owner:--possessor. see G2932
G2936,ktizo/ktid'-zo,"probably akin to 2932 (through the idea of proprietorship of the manufacturer); to fabricate, i.e. found (form originally):--create, Creator, make. see G2932"
G2937,ktisis/ktis'-is,"from 2936; original formation (properly, the act; by implication, the thing, literally or figuratively):--building, creation, creature, ordinance. see G2936"
G2938,ktisma/ktis'-mah,"from 2936; an original formation (concretely), i.e. product (created thing):--creature. see G2936"
G2939,ktistes/ktis-tace',"from 2936; a founder, i.e. God (as author of all things):--Creator. see G2936"
G2940,kubeia/koo-bi'-ah,"from kubos (a ""cube"", i.e. die for playing); gambling, i.e. (figuratively) artifice or fraud:--sleight."
G2941,kubernesis/koo-ber'-nay-sis,"from kubernao (of Latin origin, to steer); pilotage, i.e. (figuratively) directorship (in the church):-- government."
G2956,Kurenaios/koo-ray-nah'-yos,"from 2957; i.e. Cyrenaean, i.e. inhabitant of Cyrene:--of Cyrene, Cyrenian. see G2957"
G2957,Kurene/koo-ray'-nay,"of uncertain derivation; Cyrene, a region of Africa:--Cyrene."
G2958,Kurenios/koo-ray'-nee-os,"of Latin origin; Cyrenius (i.e. Quirinus), a Roman:-- Cyrenius."
G2959,Kuria/koo-ree'-ah,"feminine of 2962; Cyria, a Christian woman:--lady. see G2962"
G2960,kuriakos/koo-ree-ak-os',from 2962; belonging to the Lord (Jehovah or Jesus):--Lord's. see G2962
G2961,kurieuo/ko-ree-yoo'-o,"from 2962; to rule:--have dominion over, lord, be lord of, exercise lordship over. see G2962"
G2962,kurios/koo'-ree-os,"from kuros (supremacy); supreme in authority, i.e. (as noun) controller; by implication, Master (as a respectful title):-- God, Lord, master, Sir."
G2963,kuriotes/koo-ree-ot'-ace,"from 2962; mastery, i.e. (concretely and collectively) rulers:-- dominion, government. see G2962"
G2964,kuroo/koo-ro'-o,"from the same as 2962; to make authoritative, i.e. ratify:--confirm. see G2962"
G2965,kuon/koo'-ohn,"a primary word; a dog (""hound"") (literally or figuratively):--dog."
G2966,kolon/ko'-lon,from the base of 2849; a limb of the body (as if lopped):--carcase. see G2849
G2967,koluo/ko-loo'-o,"from the base of 2849; to estop, i.e. prevent (by word or act):--forbid, hinder, keep from, let, not suffer, withstand. see G2849"
G2968,kome/ko'-may,"from 2749; a hamlet (as if laid down):--town, village. see G2749"
G2969,komopolis/ko-mop'-ol-is,from 2968 and 4172; an unwalled city:--town. see G2968 see G4172
G2970,komos/ko'-mos,"from 2749; a carousal (as if letting loose):--revelling, rioting. see G2749"
G2971,konops/ko'-nopes,"apparently a derivative of the base of 2759 and a derivative of obtain, receive (X after), take (away, up). see G1209 see G138"
G2984,Lamech/lam'-ekh,"of Hebrew origin (3929); Lamech (i.e. Lemek), a patriarch:--Lamech. see H3929"
G2985,lampas/lam-pas',"from 2989; a ""lamp"" or flambeau:--lamp, light, torch. see G2989"
G2986,lampros/lam-pros',"from the same as 2985; radiant; by analogy, limpid; figuratively, magnificent or sumptuous (in appearance):--bright, clear, gay, goodly, gorgeous, white. see G2985"
G2987,lamprotes/lam-prot'-ace,from 2986; brilliancy:--brightness. see G2986
G2988,lampros/lam-proce',"adverb from 2986; brilliantly, i.e. figuratively, luxuriously:-- sumptuously. see G2986"
G2989,lampo/lam'-po,"a primary verb; to beam, i.e. radiate brilliancy (literally or figuratively):--give light, shine."
G2990,lanthano/lan-than'-o,"a prolonged form of a primary verb, which is used only as an alternate in certain tenses; to lie hid (literally or figuratively); often used adverbially, unwittingly:--be hid, be ignorant of, unawares."
G2991,laxeutos/lax-yoo-tos',from a compound of las (a stone) and the base of 3584 (in its original sense of scraping); rock-quarried:--hewn in stone. see G3584
G2992,laos/lah-os',"apparently a primary word; a people (in general; thus differing from 1218, which denotes one's own populace):--people. see G1218"
G2993,Laodikeia/lah-od-ik'-i-ah,"from a compound of 2992 and 1349; Laodicia, a place in Asia Minor:--Laodicea. see G2992 see G1349"
G2994,Laodikeus/lah-od-ik-yooce',"from 2993; a Laodicean, i.e. inhabitant of Laodicia:-- Laodicean. see G2993"
G2995,larugx/lar'-oongks,"of uncertain derivation; the throat (""larynx""):--throat."
G2996,Lasaia/las-ah'-yah,"of uncertain origin; Lasaea, a place in Crete:--Lasea."
G3009,leitourgia/li-toorg-ee'-ah,"from 3008; public function (as priest (""liturgy"") or almsgiver):-- ministration(-try), service. see G3008"
G3010,leitourgikos/li-toorg-ik-os',"from the same as 3008; functional publicly (""liturgic""); i.e. beneficient:--ministering. see G3008"
G3011,leitourgos/li-toorg-os',"from a derivative of 2992 and 2041; a public servant, i.e. a functionary in the Temple or Gospel, or (genitive case) a worshipper (of God) or benefactor (of man):--minister(-ed). see G2992 see G2041"
G3012,lention/len'-tee-on,"of Latin origin; a ""linen"" cloth, i.e. apron:--towel."
G3013,lepis/lep-is',from lepo (to peel); a flake:--scale.
G3014,lepra/lep'-rah,"from the same as 3013; scaliness, i.e. ""leprosy"":--leprosy. see G3013"
G3015,lepros/lep-ros',"from the same as 3014; scaly, i.e. leprous (a leper):--leper. see G3014"
G3016,lepton/lep-ton',"neuter of a derivative of the same as 3013; something scaled (light), i.e. a small coin:--mite. see G3013"
G3017,Leui/lyoo'-ee,"of Hebrew origin (3878); Levi, the name of three Israelites:--Levi. Compare 3018. see G3018 see H3878"
G3018,Leuis/lyoo-is',"a form of 3017; Lewis (i.e. Levi), a Christian:--Levi. see G3017"
G3019,Leuites/lyoo-ee'-tace,"from 3017; a Levite, i.e. descendant of Levi:--Levite. see G3017"
G3020,Leuitikos/lyoo-it'-ee-kos,"from 3019; Levitic, i.e. relating to the Levites:--Levitical. see G3019"
G3021,leukaino/lyoo-kah'-ee-no,"from 3022; to whiten:--make white, whiten. see G3022"
G3022,leukos/lyoo-kos',"from luke (""light""); white:--white."
G3023,leon/leh-ohn',"a primary word; a ""lion"":- -lion."
G3024,lethe/lay'-thay,from 2990; forgetfulness:--+ forget. see G2990
G3025,lenos/lay-nos',"apparently a primary word; a trough, i.e. wine-vat:--winepress."
G3042,limos/lee-mos',"probably from 3007 (through the idea of destitution); a scarcity of food:- -dearth, famine, hunger. see G3007"
G3043,linon/lee'-non,"probably a primary word; flax, i.e. (by implication) ""linen"":--linen."
G3044,Linos/lee'-nos,"perhaps from 3043; Linus, a Christian:--Linus. see G3043"
G3045,liparos/lip-ar-os',"from lipos (grease); fat, i.e. (figuratively) sumptuous:--dainty."
G3046,litra/lee'-trah,of Latin origin (libra); a pound in weight:--pound.
G3047,lips/leeps,"probably from leibo (to pour a ""libation""); the south(- west) wind (as bringing rain, i.e. (by extension) the south quarter):-- southwest."
G3048,logia/log-ee'-ah,"from 3056 (in the commercial sense); a contribution:--collection, gathering. see G3056"
G3049,logizomai/log-id'-zom-ahee,"middle voice from 3056; to take an inventory, i.e. estimate (literally or figuratively):--conclude, (ac-)count (of), + despise, esteem, impute, lay, number, reason, reckon, suppose, think (on). see G3056"
G3050,logikos/log-ik-os',"from 3056; rational (""logical""):--reasonable, of the word. see G3056"
G3051,logion/log'-ee-on,neuter of 3052; an utterance (of God):--oracle. see G3052
G3052,logios/log'-ee-os,"from 3056; fluent, i.e. an orator:--eloquent. see G3056"
G3053,logismos/log-is-mos',"from 3049; computation, i.e. (figuratively) reasoning (conscience, conceit):--imagination, thought. see G3049"
G3054,logomacheo/log-om-akh-eh'-o,from a compound of 3056 and 3164; to be disputatious (on trifles):--strive about words. see G3056 see G3164
G3055,logomachia/log-om-akh-ee'-ah,"from the same as 3054; disputation about trifles (""logomachy""):--strife of words. see G3054"
G3056,logos/log'-os,"from 3004; something said (including the thought); by implication, a topic (subject of discourse), also reasoning (the mental faculty) or motive; by extension, a computation;"
G3069,Ludda/lud'-dah,"of Hebrew origin (3850); Lydda (i.e. Lod), a place in Palestine:-- Lydda. see H3850"
G3070,Ludia/loo-dee'-ah,"properly, feminine of Ludios (of foreign origin) (a Lydian, in Asia Minor); Lydia, a Christian woman: -Lydia."
G3071,Lukaonia/loo-kah-on-ee'-ah,"perhaps remotely from 3074; Lycaonia, a region of Asia Minor:--Lycaonia. see G3074"
G3072,Lukaonisti/loo-kah-on-is-tee',"adverb from a derivative of 3071; Lycaonistically, i.e. in the language of the Lycaonians:--in the speech of Lycaonia. see G3071"
G3073,Lukia/loo-kee'-ah,"probably remotely from 3074; Lycia, a province of Asia Minor:-- Lycia. see G3074"
G3074,lukos/loo'-kos,perhaps akin to the base of 3022 (from the whitish hair); a wolf:--wolf. see G3022
G3075,lumainomai/loo-mah'-ee-nom-ahee,"middle voice from a probably derivative of 3089 (meaning filth); properly, to soil, i.e. (figuratively) insult (maltreat):--make havock of. see G3089"
G3076,lupeo/loo-peh'-o,"from 3077; to distress; reflexively or passively, to be sad:--cause grief, grieve, be in heaviness, (be) sorrow(-ful), be (make) sorry. see G3077"
G3077,lupe/loo'-pay,"apparently a primary word; sadness:--grief, grievous, + grudgingly, heaviness, sorrow."
G3078,Lusanias/loo-san-ee'-as,"from 3080 and ania (trouble); grief-dispelling; Lysanias, a governor of Abilene:--Lysanias. see G3080"
G3079,Lusias/loo-see'-as,"of uncertain affinity; Lysias, a Roman:--Lysias."
G3080,lusis/loo'-sis,"from 3089; a loosening, i.e. (specially), divorce:--to be loosed. see G3089"
G3081,lusitelei/loo-sit-el-i',"third person singular present indicative active of a derivative of a compound of 3080 and 5056; impersonally, it answers the purpose, i.e. is advantageous:--it is better. see G3080 see G5056"
G3098,Magog/mag-ogue',"of Hebrew origin (4031); Magog, a foreign nation, i.e. (figuratively) an Antichristian party:--Magog. see H4031"
G3099,Madian/mad-ee-on',"of Hebrew origin (4080); Madian (i.e. Midian), a region of Arabia:-- Madian. see H4080"
G3100,matheteuo/math-ayt-yoo'-o,"from 3101; intransitively, to become a pupil; transitively, to disciple, i.e. enrol as scholar:--be disciple, instruct, teach. see G3101"
G3101,mathetes/math-ay-tes',"from 3129; a learner, i.e. pupil:--disciple. see G3129"
G3102,mathetria/math-ay'-tree-ah,feminine from 3101; a female pupil:--disciple. see G3101
G3103,Mathousala/math-oo-sal'-ah,"of Hebrew origin (4968); Mathusala (i.e. Methushelach), an antediluvian:--Mathusala. see H4968"
G3104,Mainan/mahee-nan',"probably of Hebrew origin; Mainan, an Israelite:--Mainan."
G3105,mainomai/mah'-ee-nom-ahee,"middle voice from a primary mao (to long for; through the idea of insensate craving); to rave as a ""maniac"":-- be beside self (mad)."
G3106,makarizo/mak-ar-id'-zo,"from 3107; to beatify, i.e. pronounce (or esteem) fortunate:--call blessed, count happy. see G3107"
G3107,makarios/mak-ar'-ee-os,"a prolonged form of the poetical makar (meaning the same); supremely blest; by extension, fortunate, well off:-- blessed, happy(X -ier)."
G3108,makarismos/mak-ar-is-mos',"from 3106; beatification, i.e. attribution of good fortune:- -blessedness. see G3106"
G3109,Makedonia/mak-ed-on-ee'-ah,"from 3110; Macedonia, a region of Greece:--Macedonia. see G3110"
G3110,Makedon/mak-ed'-ohn,"of uncertain derivation; a Macedon (Macedonian), i.e. inhabitant of Macedonia:--of Macedonia, Macedonian."
G3111,makellon/mak'-el-lon,"of Latin origin (macellum); a butcher's stall, meat market or provision-shop:--shambles. far, (the) more (and more), (so) much (the more), rather. see G3122"
G3124,Malchos/mal'-khos,"of Hebrew origin (4429); Malchus, an Israelite:--Malchus. see H4429"
G3125,mamme/mam'-may,"of natural origin (""mammy""); a grandmother:--grandmother."
G3126,mammonas/mam-mo-nas',"of Chaldee origin (confidence, i.e. wealth, personified); mammonas, i.e. avarice (deified):--mammon."
G3127,Manaen/man-ah-ane',"of uncertain origin; Manaen, a Christian:--Manaen."
G3128,Manasses/man-as-sace',"of Hebrew origin (4519); Mannasses (i.e. Menashsheh), an Israelite:--Manasses. see H4519"
G3129,manthano/man-than'-o,"prolongation from a primary verb, another form of which, matheo, is used as an alternate in certain tenses; to learn (in any way):--learn, understand."
G3130,mania/man-ee'-ah,from 3105; craziness:--(+ make) X mad. see G3105
G3131,manna/man'-nah,"of Hebrew origin (4478); manna (i.e. man), an edible gum:--manna. see H4478"
G3132,manteuomai/mant-yoo'-om-ahee,"from a derivative of 3105 (meaning a prophet, as supposed to rave through inspiration); to divine, i.e. utter spells (under pretense of foretelling:--by soothsaying. see G3105"
G3133,maraino/mar-ah'-ee-no,"of uncertain affinity; to extinguish (as fire), i.e. (figuratively and passively) to pass away:--fade away."
G3134,maran/atha/mar'-an/ath'-ah,"of Chaldee origin (meaning our Lord has come); maranatha, i.e. an exclamation of the approaching divine judgment:--Maran-atha."
G3135,margarites/mar-gar-ee'-tace,from margaros (a pearl-oyster); a pearl:--pearl.
G3136,Martha/mar'-thah,"probably of Chaldee origin (meaning mistress); Martha, a Christian woman:--Martha."
G3137,Maria/mar-ee'-ah,"of Hebrew origin (4813); Maria or Mariam (i.e. Mirjam), the name of six Christian females:-- Mary. see H4813"
G3150,mataiologia/mat-ah-yol-og-ee'-ah,"from 3151; random talk, i.e. babble:--vain jangling. see G3151"
G3151,mataiologos/mat-ah-yol-og'-os,"from 3152 and 3004; an idle (i.e. senseless or mischievous) talker, i.e. a wrangler:--vain talker. see G3152 see G3004"
G3152,mataios/mat'-ah-yos,"from the base of 3155; empty, i.e. (literally) profitless, or (specially), an idol:--vain, vanity. see G3155"
G3153,mataiotes/mat-ah-yot'-ace,"from 3152; inutility; figuratively, transientness; morally, depravity:--vanity. see G3152"
G3154,mataioo/mat-ah-yo'-o,"from 3152; to render (passively, become) foolish, i.e. (morally) wicked or (specially), idolatrous:--become vain. see G3152"
G3155,maten/mat'-ane,"accusative case of a derivative of the base of 3145 (through the idea of tentative manipulation, i.e. unsuccessful search, or else of punishment); folly, i.e. (adverbially) to no purpose:--in vain. see G3145"
G3156,Matthaios/mat-thah'-yos,"a shorter form of 3164; Matthaeus (i.e. Matthitjah), an Israelite and a Christian:--Matthew. see G3164"
G3157,Matthan/mat-than',"of Hebrew origin (4977); Matthan (i.e. Mattan), an Israelite:-- Matthan. see H4977"
G3158,Matthat/mat-that',"probably a shortened form of 3161; Matthat (i.e. Mattithjah), the name of two Israelites:--Mathat. see G3161"
G3159,Matthias/mat-thee'-as,"apparently a shortened form of 3161; Matthias (i.e. Mattithjah), an Israelite:--Matthias. see G3161"
G3160,Mattatha/mat-tath-ah',"probably a shortened form of 3161 (compare 4992); Mattatha (i.e. Mattithjah), an Israelite:--Mattatha. see G3161 see G4992"
G3161,Mattathias/mat-tath-ee'-as,"of Hebrew origin (4993); Mattathias (i.e. Mattithjah), an Israelite and a Christian:--Mattathias. see H4993"
G3162,machaira/makh'-ahee-rah,"probably feminine of a presumed derivative of 3163; a knife,"
G3174,megethos/meg'-eth-os,from 3173; magnitude (figuratively):--greatness. see G3173
G3175,megistanes/meg-is-tan'-es,"plural from 3176; grandees:--great men, lords. see G3176"
G3176,megistos/meg'-is-tos,superlative of 3173; greatest or very great:--exceeding great. see G3173
G3177,methermeneuo/meth-er-mane-yoo'-o,"from 3326 and 2059; to explain over, i.e. translate:-- (by) interpret(-ation). see G3326 see G2059"
G3178,methe/meth'-ay,"apparently a primary word; an intoxicant, i.e. (by implication) intoxication:--drunkenness."
G3179,"methistemi/meth-is'-tay-mee, or (1 Cor 13:2",") from 3326 and 2476; to transfer, i.e. carry away, depose or (figuratively) exchange, seduce:--put out, remove, translate, turn away. see G3326 see G2476"
G3180,methodeia/meth-od-i'-ah,"from a compound of 3326 and 3593 (compare ""method""); travelling over, i.e. travesty (trickery):--wile, lie in wait. see G3326 see G3593"
G3181,methorios/meth-or'-ee-os,"from 3326 and 3725; bounded alongside, i.e. contiguous (neuter plural as noun, frontier):--border. see G3326 see G3725"
G3182,methusko/meth-oos'-ko,a prolonged (transitive) form of 3184; to intoxicate:--be drunk(- en). see G3184
G3183,methusos/meth'-oo-sos,"from 3184; tipsy, i.e. (as noun) a sot:--drunkard. see G3184"
G3184,methuo/meth-oo'-o,"from another form of 3178; to drink to intoxication, i.e. get drunk:-- drink well, make (be) drunk(-en). see G3178"
G3185,meizon/mide'-zon,neuter of 3187; (adverbially) in greater degree:--the more. see G3187
G3186,meizoteros/mide-zot'-er-os,continued comparative of 3187; still larger (figuratively):-- greater. see G3187
G3187,meizon/mide'-zone,irregular comparative of 3173; larger (literally or
G3200,membrana/mem-bran'-ah,"of Latin origin (""membrane""); a (written) sheep-skin:-- parchment."
G3201,memphomai/mem'-fom-ahee,middle voice of an apparently primary verb; to blame:--find fault.
G3202,mempsimoiros/mem-psim'-oy-ros,"from a presumed derivative of 3201 and moira (fate; akin to the base of 3313); blaming fate, i.e. querulous (discontented):--complainer. see G3201 see G3313"
G3203,Not/Used,
G3204,Not/Used,
G3205,Not/Used,
G3206,Not/Used,
G3207,Not/Used,
G3208,Not/Used,
G3209,Not/Used,
G3210,Not/Used,
G3211,Not/Used,
G3212,Not/Used,
G3213,Not/Used,
G3214,Not/Used,
G3215,Not/Used,
G3216,Not/Used,
G3217,Not/Used,
G3218,Not/Used,
G3219,Not/Used,
G3220,Not/Used,
G3221,Not/Used,
G3222,Not/Used,
G3223,Not/Used,
G3224,Not/Used,
G3225,Not/Used,
G3226,Not/Used,
G3227,Not/Used,
G3228,Not/Used,
G3229,Not/Used,
G3230,Not/Used,
G3231,Not/Used,
G3232,Not/Used,
G3233,Not/Used,
G3275,Not/Used,
G3276,Not/Used,
G3277,Not/Used,
G3278,Not/Used,
G3279,Not/Used,
G3280,Not/Used,
G3281,Not/Used,
G3282,Not/Used,
G3283,Not/Used,
G3284,Not/Used,
G3285,Not/Used,
G3286,Not/Used,
G3287,Not/Used,
G3288,Not/Used,
G3289,Not/Used,
G3290,Not/Used,
G3291,Not/Used,
G3292,Not/Used,
G3293,Not/Used,
G3294,Not/Used,
G3295,Not/Used,
G3296,Not/Used,
G3297,Not/Used,
G3298,Not/Used,
G3299,Not/Used,
G3300,Not/Used,
G3301,Not/Used,
G3302,Not/Used,
G3303,men/men,"a primary particle; properly, indicative of affirmation or concession (in fact); usually followed by a contrasted clause with 1161 (this one, the former, etc.):--even, indeed, so, some, truly, verily. Often compounded with other particles in an intensive or asseverative sense. see G1161"
G3304,menounge/men-oon'-geh,"from 3203 and 3767 and 1065; so then at least:--nay but, yea doubtless (rather, verily). see G3203 see G3767 see G1065"
G3305,mentoi/men'-toy,"from 3203 and 5104; indeed though, i.e. however:--also, but, howbeit, nevertheless, yet. see G3203 see G5104"
G3318,Mesopotamia/mes-op-ot-am-ee'-ah,"from 3319 and 4215; Mesopotamia (as lying between the Euphrates and the Tigris; compare 0763), a region of Asia:--Mesopotamia. see G3319 see G4215 see H763"
G3319,mesos/mes'-os,"from 3326; middle (as an adjective or (neuter) noun):--among, X before them, between, + forth, mid(-day, -night), midst, way. see G3326"
G3320,mesotoichon/mes-ot'-oy-khon,from 3319 and 5109; a partition (figuratively):--middle wall. see G3319 see G5109
G3321,mesouranema/mes-oo-ran'-ay-mah,from a presumed compound of 3319 and 3772; mid- sky:--midst of heaven. see G3319 see G3772
G3322,mesoo/mes-o'-o,"from 3319; to form the middle, i.e. (in point of time), to be half-way over:-- be about the midst. see G3319"
G3323,Messias/mes-see'-as,"of Hebrew origin (4899); the Messias (i.e. Mashiach), or Christ:-- Messias. see H4899"
G3324,mestos/mes-tos',of uncertain derivation:--replete (literally or figuratively):--full.
G3325,mestoo/mes-to'-o,"from 3324; to replenish, i.e. (by implication) to intoxicate:--fill. see G3324"
G3326,meta/met-ah',"a primary preposition (often used adverbially); properly, denoting accompaniment; ""amid"" (local or causal); modified variously according to the case (genitive association, or accusative succession) with which it is joined; occupying an intermediate position between 575 or 1537 and 1519 or 4314; less intimate than 1722 and less close than 4862):-- after(-ward), X that he again, against, among, X and, + follow, hence, hereafter, in, of, (up-)on, + our, X and setting, since, (un-)to, + together, when, with (+ -out). Often used in composition, in substantially the same relations of participation or proximity, and transfer or sequence. see G4314 see G575 see G1537 see G1519 see G1722 see G4862"
G3327,metabaino/met-ab-ah'-ee-no,"from 3326 and the base of 939; to change place:--depart, go, pass, remove. see G3326 see G939 reconsider (morally, feel compunction):--repent. see G3326 see G3539"
G3341,metanoia/met-an'-oy-ah,"from 3340; (subjectively) compunction (for guilt, including reformation); by implication, reversal (of (another's) decision):--repentance. see G3340"
G3342,metaxu/met-ax-oo',"from 3326 and a form of 4862; betwixt (of place or person); (of time) as adjective, intervening, or (by implication) adjoining:--between, mean while, next. see G3326 see G4862"
G3343,metapempo/met-ap-emp'-o,"from 3326 and 3992; to send from elsewhere, i.e. (middle voice) to summon or invite:--call (send) foreign see G3326 see G3992"
G3344,metastrepho/met-as-tref'-o,"from 3326 and 4762; to turn across, i.e. transmute or (figuratively) corrupt:--pervert, turn. see G3326 see G4762"
G3345,metaschematizo/met-askh-ay-mat-id'- zo,"from 3326 and a derivative of 4976; to transfigure or disguise; figuratively, to apply (by accommodation):--transfer, transform (self). see G3326 see G4976"
G3346,metatithemi/met-at-ith'-ay-mee,"from 3326 and 5087; to transfer, i.e. (literally) transport, (by implication) exchange, (reflexively) change sides, or (figuratively) pervert:--carry over, change, remove, translate, turn. see G3326 see G5087"
G3347,metepeita/met-ep'-i-tah,from 3326 and 1899; thereafter:--afterward. see G3326 see G1899
G3348,metecho/met-ekh'-o,"from 3326 and 2192; to share or participate; by implication, belong to, eat (or drink):--be partaker, pertain, take part, use. see G3326 see G2192"
G3349,meteorizo/met-eh-o-rid'-zo,"from a compound of 3326 and a collateral form of 142 or perhaps rather 109 (compare ""meteor""); to raise in mid-air, i.e. (figuratively) suspend (passively, fluctuate or be anxious):--be of doubtful mind. see G3326 see G142 see G109"
